public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Dollhouse.tsx(135,9): error TS2339: Property 'directionalLight' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(1,40): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(3,42): error TS2307: Cannot find module 'react-router-dom' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(25,31): error TS2339: Property 'contains' does not exist on type 'HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(27,34): error TS2339: Property 'contains' does not exist on type 'HTMLButtonElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(33,5): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/Header.tsx(35,7): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/hooks/useSplitViewControls.ts(43,41): error TS2339: Property 'getBoundingClientRect' does not exist on type 'HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/hooks/useSplitViewControls.ts(55,27): error TS2339: Property 'setPointerCapture' does not exist on type 'EventTarget & HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/hooks/useSplitViewControls.ts(56,27): error TS2339: Property 'focus' does not exist on type 'EventTarget & HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/hooks/useSplitViewControls.ts(79,29): error TS2339: Property 'hasPointerCapture' does not exist on type 'EventTarget & HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/hooks/useSplitViewControls.ts(80,27): error TS2339: Property 'releasePointerCapture' does not exist on type 'EventTarget & HTMLDivElement'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/ModelSelector.tsx(2,40): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(1,33): error TS2307: Cannot find module '@react-three/drei' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(2,33): error TS2307: Cannot find module '@react-three/fiber' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(3,24): error TS2307: Cannot find module 'lucide-react' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(5,29): error TS2307: Cannot find module 'three' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(6,37): error TS2307: Cannot find module '@/utils/transforms' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(31,7): error TS2339: Property 'mesh' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(33,25): error TS7006: Parameter 'e' implicitly has an 'any' type.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(35,9): error TS2339: Property 'planeGeometry' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(36,9): error TS2339: Property 'meshBasicMaterial' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMarker.tsx(37,7): error TS2339: Property 'mesh' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(2,24): error TS2307: Cannot find module 'three' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(25,21): error TS2304: Cannot find name 'Image'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(34,22): error TS2584: Cannot find name 'document'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(65,20): error TS7006: Parameter 'error' implicitly has an 'any' type.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(97,5): error TS2339: Property 'mesh' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(98,7): error TS2339: Property 'sphereGeometry' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(99,7): error TS2339: Property 'meshBasicMaterial' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/PanoramaMesh.tsx(105,5): error TS2339: Property 'mesh' does not exist on type 'JSX.IntrinsicElements'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/preloadPanorama.ts(3,21): error TS2304: Cannot find name 'Image'.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/usePanoramaMarkers.ts(2,24): error TS2307: Cannot find module 'three' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/usePanoramaMarkers.ts(3,37): error TS2307: Cannot find module '@/utils/transforms' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/panorama/usePanoramaMarkers.ts(4,35): error TS2307: Cannot find module '@/utils/transforms' or its corresponding type declarations.
public/Downloads/3d-modeling-dev (1)/3d-modeling-dev/src/components/dashboard/PanoramaViewer.tsx(3,31): error TS2307: Cannot find module '@react-three/drei' or its corresponding type declarations.
